secid,permno,Ticker,Name
126703,91195,'CPX','COMPLETE PRODUCTION SERVICES INC'
126833,91215,'DK','DELEK U S HOLDINGS INC'
126834,91216,'DCP','DYNCORP INTERNATIONAL INC'
126835,91218,'EQ','EMBARQ CORP'
126837,91279,'PRTK','PARATEK PHARMACEUTICALS INC'
126878,91280,'NSTR','NORTHSTAR NEUROSCIENCE INC'
126890,91277,'QVCA','LIBERTY INTERACTIVE CORP'
126892,13008,'STRZA','STARZ'
126898,91267,'BMTI','BIOMIMETIC THERAPEUTICS INC'
126902,91268,'BWTR','BASIN WATER INC'
126906,92932,'UTA','UNIVERSAL TRAVEL GROUP'
126923,91282,'PNSN','PENSON WORLDWIDE INC'
126925,91212,'BKC','BURGER KING HOLDINGS INC'
126936,91237,'VG','VONAGE HOLDINGS CORP'
126938,91233,'MA','MASTERCARD INC'
126940,91349,'CLUB','TOWN SPORTS INTL HOLDINGS INC'
126945,91234,'MWA','MUELLER WATER PRODUCTS INC'
126953,91262,'AAWW','ATLAS AIR WORLDWIDE HOLDINGS INC'
126955,91350,'CTCM','C T C MEDIA INC'
126961,91348,'ATEC','ALPHATEC HOLDINGS INC'
126988,91358,'LOOP','LOOPNET INC'
127021,91299,'GFN','GENERAL FINANCE CORP'
127026,91322,'VSE','VERASUN ENERGY CORP'
127030,91357,'HWCC','HOUSTON WIRE & CABLE CO'
127031,91366,'SNCR','SYNCHRONOSS TECHNOLOGIES INC'
127033,91371,'VOLC','VOLCANO CORP'
127085,91370,'TWLL','TECHWELL INC'
127116,91356,'HOMB','HOME BANCSHARES INC'
127137,91302,'JCG','J CREW GROUP INC'
127139,91362,'OMTR','OMNITURE INC'
127140,91363,'PGTI','P G T INNOVATIONS INC'
127141,91365,'CSII','CARDIOVASCULAR SYSTEMS INC DEL'
127145,91288,'AVR','AVENTINE RENEWBL ENRGY HLDGS INC'
127146,92088,'BIDZ','BIDZ COM INC'
127164,92295,'WEST','WESTINGHOUSE SOLAR INC'
127170,91403,'KALU','KAISER ALUMINUM CORP'
127196,91398,'COWN','COWEN GROUP INC'
127218,91395,'CBLI','CLEVELAND BIOLABS INC'
127222,91388,'H','REALOGY CORP'
127317,91392,'WYN','WYNDHAM WORLDWIDE CORP'
127332,91402,'GTLS','CHART INDUSTRIES INC'
127446,91434,'OSIR','OSIRIS THERAPEUTICS INC NEW'
127461,91428,'ASTI','ASCENT SOLAR TECHNOLOGIES INC'
127468,91413,'EVR','EVERCORE PARTNERS INC'
127473,91416,'HBI','HANESBRANDS INC'
127474,91432,'INWK','INNERWORKINGS INC'
127491,13385,'IMUC','IMMUNOCELLULAR THERAPEUTICS LTD'
127511,91419,'MHR','MAGNUM HUNTER RESOURCES CORP'
127545,92054,'TWER','TOWERSTREAM CORP'
127556,12049,'GORO','GOLD RESOURCE CORP'
127557,91465,'GEOY','GEOEYE INC'
127570,14523,'XXII','22ND CENTURY GROUP INC'
127593,91461,'WU','WESTERN UNION CO'
127613,91485,'RVBD','RIVERBED TECHNOLOGY INC'
127616,91463,'CVLT','COMMVAULT SYSTEMS INC'
127617,91464,'DIVX','DIVX INC'
127695,91468,'ICFI','I C F INTERNATIONAL INC NEW'
127698,91462,'BARE','BARE ESCENTUALS INC'
127703,91486,'SFLY','SHUTTERFLY INC'
127729,91514,'LTXB','LEGACYTEXAS FINANCIAL GROUP INC'
127735,13167,'SGYP','SYNERGY PHARMACEUTICALS INC'
127738,91518,'CMG','CHIPOTLE MEXICAN GRILL INC'
127753,91531,'OC','OWENS CORNING NEW'
127757,91516,'AWI','ARMSTRONG WORLD INDS INC NEW'
127804,91493,'APKT','ACME PACKET INC'
127806,91498,'EHTH','EHEALTH INC'
127813,91547,'LDOS','LEIDOS HOLDINGS INC'
128010,91523,'FMR','FIRST MERCURY FINANCIAL CORP'
128013,91548,'SXE','STANLEY INC'
128021,91503,'LMAT','LEMAITRE VASCULAR INC'
128022,91507,'SUSS','SUSSER HOLDINGS CORP'
128025,91500,'EXLS','EXLSERVICE HOLDINGS INC'
128050,91495,'CADX','CADENCE PHARMACEUTICALS INC'
